Resume_ID,Name,Skills,Experience_Years,Education,Certifications,Job_Role,Recruiter_Decision,Salary_Expectation_Dollars,Projects_Count,AI_Score,Python_Skill,SQL_Skill,ML_Skill,PowerBI_Skill,Excel_Skill,TensorFlow_Skill,NLP_Skill,Pytorch_Skill,Experience_Level
1,Ashley Ali,"tensorflow, nlp, pytorch",10,B.Sc,None,AI Researcher,1,104895,8,100,0,0,0,0,0,1,1,1,Senior
2,Wesley Roman,"deep learning, machine learning, python, sql",10,MBA,Google ML,Data Scientist,1,113002,1,100,1,1,1,0,0,0,0,0,Senior
3,Corey Sanchez,"ethical hacking, cybersecurity, linux",1,MBA,Deep Learning Specialization,Cybersecurity Analyst,1,71766,7,70,0,0,0,0,0,0,0,0,Fresher
4,Elizabeth Carney,"python, pytorch, tensorflow",7,B.Tech,AWS Certified,AI Researcher,1,46848,0,95,1,0,0,0,0,1,0,1,Senior
5,Julie Hill,"sql, react, java",4,PhD,None,Software Engineer,1,87441,9,100,0,1,0,0,0,0,0,0,Mid
6,Samantha Santos,"cybersecurity, networking, linux, ethical hacking",10,B.Tech,Google ML,Cybersecurity Analyst,1,47957,5,100,0,0,0,0,0,0,0,0,Senior
7,Tony Smith,"networking, cybersecurity, ethical hacking",4,M.Tech,AWS Certified,Cybersecurity Analyst,1,66208,9,100,0,0,0,0,0,0,0,0,Mid
8,Anthony Harrison,"tensorflow, pytorch, nlp",3,M.Tech,AWS Certified,AI Researcher,1,103006,7,90,0,0,0,0,0,1,1,1,Junior
9,Nancy Jenkins,"networking, ethical hacking",7,MBA,Deep Learning Specialization,Cybersecurity Analyst,1,92270,3,100,0,0,0,0,0,0,0,0,Senior
10,Courtney Gibson,"python, tensorflow, pytorch, nlp",0,M.Tech,AWS Certified,AI Researcher,0,60579,1,35,1,0,0,0,0,1,1,1,Fresher
11,Laura French,"sql, java, c++",1,PhD,Deep Learning Specialization,Software Engineer,1,88945,7,70,0,1,0,0,0,0,0,0,Fresher
12,Ralph Barrera,"cybersecurity, ethical hacking, networking",0,MBA,Google ML,Cybersecurity Analyst,0,62708,5,50,0,0,0,0,0,0,0,0,Fresher
13,David Diaz,"cybersecurity, networking",0,M.Tech,Deep Learning Specialization,Cybersecurity Analyst,1,42077,9,65,0,0,0,0,0,0,0,0,Fresher
14,Caitlin Myers,"sql, c++, java",4,B.Sc,Deep Learning Specialization,Software Engineer,1,50410,10,100,0,1,0,0,0,0,0,0,Mid
15,Tammy Pineda,"pytorch, nlp",0,M.Tech,Deep Learning Specialization,AI Researcher,0,96555,5,45,0,0,0,0,0,0,1,1,Fresher
16,Courtney Cook,"cybersecurity, networking",1,PhD,Google ML,Cybersecurity Analyst,0,51388,6,60,0,0,0,0,0,0,0,0,Fresher
17,Megan Brown,"sql, python",10,PhD,None,Data Scientist,1,115364,2,100,1,1,0,0,0,0,0,0,Senior
18,Frances Davis MD,"linux, networking, cybersecurity, ethical hacking",3,B.Tech,None,Cybersecurity Analyst,1,66379,6,80,0,0,0,0,0,0,0,0,Junior
19,Jonathon Pineda,"sql, python, deep learning",3,MBA,None,Data Scientist,1,112439,10,95,1,1,0,0,0,0,0,0,Junior
20,Jennifer Collins,"machine learning, sql, python",10,B.Tech,Deep Learning Specialization,Data Scientist,1,53167,9,100,1,1,1,0,0,0,0,0,Senior
21,Nichole Welch,"sql, java, c++, react",5,B.Sc,None,Software Engineer,1,57546,4,90,0,1,0,0,0,0,0,0,Mid
22,Amber Davis,"python, tensorflow, pytorch, nlp",6,B.Sc,Google ML,AI Researcher,1,106352,10,100,1,0,0,0,0,1,1,1,Mid
23,William Clark,"machine learning, deep learning, sql",4,MBA,AWS Certified,Data Scientist,1,107045,8,100,0,1,1,0,0,0,0,0,Mid
24,Taylor Williams,"tensorflow, pytorch, nlp, python",8,MBA,Deep Learning Specialization,AI Researcher,1,94384,0,100,1,0,0,0,0,1,1,1,Senior
25,Lori Johnson,"pytorch, tensorflow, nlp, python",0,B.Tech,Deep Learning Specialization,AI Researcher,1,91064,10,80,1,0,0,0,0,1,1,1,Fresher
26,Roy Huang,"python, nlp",7,B.Tech,Deep Learning Specialization,AI Researcher,1,68447,10,100,1,0,0,0,0,0,1,0,Senior
